p-0.04_11.0039_0 dE= 0.01105
-0.00031 0.00000 -0.00031
0.00018 0.00000 0.00018
0.00154 202084506648945089748137934848.00000 -202084506648945089748137934848.00000
0.00002 -116514188878401389716417019904.00000 116514188878401389716417019904.00000
-0.00142 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00304 199671604218051116264912322560.00000 -199671604218051116264912322560.00000
-0.03251 -114880690801762529552254369792.00000 114880690801762529552254369792.00000
-0.03242 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
0.02967 199461279614198707261647355904.00000 -199461279614198707261647355904.00000
0.01363 -115244486980542477892575035392.00000 115244486980542477892575035392.00000
-0.03242 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
-0.09233 199251376972479728933039767552.00000 -199251376972479728933039767552.00000
0.05331 -114880437660861834694605406208.00000 114880437660861834694605406208.00000
-0.12601 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
0.00046 0.00000 0.00046
-0.00026 0.00000 -0.00026
0.00131 1979355448325455765053735392247808.00000 -1979355448325455765053735392247808.00000
-0.00231 0.00000 -0.00231
0.00133 0.00000 0.00133
-0.00092 0.00000 -0.00092
0.00308 199977939018533250335588220928.00000 -199977939018533250335588220928.00000
0.00400 -115299633588106037110924902400.00000 115299633588106037110924902400.00000
0.00202 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00644 199977863941123876874543431680.00000 -199977863941123876874543431680.00000
0.00372 -115299633542880115596684427264.00000 115299633542880115596684427264.00000
0.00181 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00193 199977901442134912467602505728.00000 -199977901442134912467602505728.00000
-0.00466 -115299698583593378343001522176.00000 115299698583593378343001522176.00000
0.00202 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00624 201149303994724858661403885568.00000 -201149303994724858661403885568.00000
-0.00416 -115975395198060702222895808512.00000 115975395198060702222895808512.00000
-0.00293 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00048 201149282973211094226751717376.00000 -201149282973211094226751717376.00000
0.00749 -115975431558744180131142565888.00000 115975431558744180131142565888.00000
-0.00293 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00284 0.00000 -0.00284
0.00164 0.00000 0.00164
-0.00009 0.00000 -0.00009
-0.00004 0.00000 -0.00004
0.00068 0.00000 0.00068
0.00131 1979355448325455765053735392247808.00000 -1979355448325455765053735392247808.00000
-0.00039 199641485008668437285934465024.00000 -199641485008668437285934465024.00000
-0.00446 -115105720643560932818487869440.00000 115105720643560932818487869440.00000
0.00469 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
0.00284 199977939018533250335588220928.00000 -199977939018533250335588220928.00000
0.00403 -115299633588106037110924902400.00000 115299633588106037110924902400.00000
0.00191 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.01023 201954474051236646218260021248.00000 -201954474051236646218260021248.00000
0.00433 -116439271921666717582641594368.00000 116439271921666717582641594368.00000
0.00146 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.03287 201954425391901978594037989376.00000 -201954425391901978594037989376.00000
0.04410 -116439187528266212470784262144.00000 116439187528266212470784262144.00000
0.00113 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00346 200909709681266908355562045440.00000 -200909709681266908355562045440.00000
0.00212 -115559849466478412366415396864.00000 115559849466478412366415396864.00000
0.00275 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00126 0.00000 0.00126
-0.00308 0.00000 -0.00308
0.00076 0.00000 0.00076
-0.00549 200909667680413690040489607168.00000 -200909667680413690040489607168.00000
0.01057 -115559849441177541503568838656.00000 115559849441177541503568838656.00000
-0.00588 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00061 0.00000 -0.00061
-0.00031 0.00000 -0.00031
0.00131 1979355448325455765053735392247808.00000 -1979355448325455765053735392247808.00000
0.00366 199641511342544794467484827648.00000 -199641511342544794467484827648.00000
0.00256 -115105675094141388928734724096.00000 115105675094141388928734724096.00000
0.00469 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
-0.05463 201954376634748599297747451904.00000 -201954376634748599297747451904.00000
0.00642 -116439271862983970013073899520.00000 116439271862983970013073899520.00000
0.00113 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.00136 201954474051236786955748376576.00000 -201954474051236786955748376576.00000
-0.01102 -116439271921666559252967194624.00000 116439271921666559252967194624.00000
0.00146 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00206 199977901442134806914486239232.00000 -199977901442134806914486239232.00000
-0.00448 -115299698583593395935187566592.00000 115299698583593395935187566592.00000
0.00191 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.00329 0.00000 0.00329
0.00045 0.00000 0.00045
0.00076 0.00000 0.00076
-0.00357 200669612695720286396702785536.00000 -200669612695720286396702785536.00000
0.00194 -115975142609926706302562598912.00000 115975142609926706302562598912.00000
0.00275 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.01190 200669591716380832516282515456.00000 -200669591716380832516282515456.00000
-0.00053 -115975106223942287162725105664.00000 115975106223942287162725105664.00000
-0.00588 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.32745 14669589465531756257554622054400.00000 -14669589465531756257554622054400.00000
-0.18906 18150676856002245590570959372288.00000 -18150676856002245590570959372288.00000
0.40386 -116432673430908484461099371986944.00000 116432673430908484461099371986944.00000
-0.02119 199641537623589142945375191040.00000 -199641537623589142945375191040.00000
0.01223 -115105720675255771660107644928.00000 115105720675255771660107644928.00000
-0.01190 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
-0.05707 201954376634748669666491629568.00000 -201954376634748669666491629568.00000
-0.01286 -116439271862983794091213455360.00000 116439271862983794091213455360.00000
0.00047 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00643 199977863941123876874543431680.00000 -199977863941123876874543431680.00000
0.00371 -115299633542880203557614649344.00000 115299633542880203557614649344.00000
0.00209 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.01740 201954425391902013778410078208.00000 -201954425391902013778410078208.00000
0.05586 -116439187528266318023900528640.00000 116439187528266318023900528640.00000
0.00047 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.00233 199671604218051116264912322560.00000 -199671604218051116264912322560.00000
0.06738 -114880690801761016624254550016.00000 114880690801761016624254550016.00000
-0.07573 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
-0.05719 199461279614197370255507980288.00000 -199461279614197370255507980288.00000
-0.03571 -115244486980543251948760989696.00000 115244486980543251948760989696.00000
-0.07573 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
0.01036 199251376972481065939179143168.00000 -199251376972481065939179143168.00000
-0.00598 -114880437660862608750791360512.00000 114880437660862608750791360512.00000
-0.00720 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
-0.00081 0.00000 -0.00081
0.00047 0.00000 0.00047
0.00229 0.00000 0.00229
-0.00167 0.00000 -0.00167
0.00097 0.00000 0.00097
-0.00346 0.00000 -0.00346
0.00397 0.00000 0.00397
-0.00288 0.00000 -0.00288
0.00131 0.00000 0.00131
0.00085 0.00000 0.00085
-0.00049 0.00000 -0.00049
0.00414 0.00000 0.00414
0.00448 0.00000 0.00448
-0.00200 0.00000 -0.00200
0.00131 0.00000 0.00131
-0.00184 0.00000 -0.00184
0.00092 0.00000 0.00092
0.00214 0.00000 0.00214
-0.00172 0.00000 -0.00172
0.00113 0.00000 0.00113
0.00214 0.00000 0.00214
-0.00170 0.00000 -0.00170
0.00098 0.00000 0.00098
0.00010 0.00000 0.00010
0.00189 0.00000 0.00189
0.00071 0.00000 0.00071
-0.00026 0.00000 -0.00026
-0.00776 0.00000 -0.00776
0.00028 0.00000 0.00028
-0.00500 0.00000 -0.00500
0.00389 0.00000 0.00389
-0.00345 0.00000 -0.00345
0.00139 0.00000 0.00139
-0.00035 -202215596768647402059653447680.00000 202215596768647402059653447680.00000
0.00400 116907873278046117509820579840.00000 -116907873278046117509820579840.00000
0.00283 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00098 -202215549192169804498810699776.00000 202215549192169804498810699776.00000
-0.00643 116907816716501853732977246208.00000 -116907816716501853732977246208.00000
0.00136 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00101 0.00000 -0.00101
0.00000 0.00000 0.00000
0.00223 0.00000 0.00223
-0.00230 0.00000 -0.00230
0.00189 0.00000 0.00189
0.00016 0.00000 0.00016
-0.00125 0.00000 -0.00125
0.00040 0.00000 0.00040
0.00209 0.00000 0.00209
0.00034 0.00000 0.00034
-0.00199 0.00000 -0.00199
-0.00026 0.00000 -0.00026
-0.00412 0.00000 -0.00412
0.00658 0.00000 0.00658
-0.00500 0.00000 -0.00500
0.00606 -202215516574223749210393542656.00000 202215516574223749210393542656.00000
0.00237 116907873324337703285887598592.00000 -116907873324337703285887598592.00000
0.00136 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00364 -202215589331050042983593279488.00000 202215589331050042983593279488.00000
-0.00170 116907886142862742820120166400.00000 -116907886142862742820120166400.00000
0.00283 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00493 0.00000 0.00493
-0.00164 0.00000 -0.00164
0.00139 0.00000 0.00139
-0.00278 0.00000 -0.00278
0.00105 0.00000 0.00105
0.00016 0.00000 0.00016
-0.00051 0.00000 -0.00051
0.00087 0.00000 0.00087
0.00223 0.00000 0.00223
-0.00097 0.00000 -0.00097
0.00088 0.00000 0.00088
0.00209 0.00000 0.00209
0.00021 -202550130969917956872143372288.00000 202550130969917956872143372288.00000
-0.00012 117101287800680052519226834944.00000 -117101287800680052519226834944.00000
0.02010 116659191017649030249967979069440.00000 -116659191017649030249967979069440.00000
-0.00029 0.00000 -0.00029
0.00017 0.00000 0.00017
-0.00533 0.00000 -0.00533
0.00465 -202215509136624842021961465856.00000 202215509136624842021961465856.00000
-0.00174 116907886189155190613303361536.00000 -116907886189155190613303361536.00000
0.00234 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00060 0.00000 0.00060
-0.00034 0.00000 -0.00034
0.00403 0.00000 0.00403
0.00384 -202215556629767233943615045632.00000 202215556629767233943615045632.00000
-0.00316 116907803851683504388445306880.00000 -116907803851683504388445306880.00000
0.00234 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00146 0.00000 -0.00146
0.00371 0.00000 0.00371
-0.00092 0.00000 -0.00092
-0.00395 0.00000 -0.00395
-0.00059 0.00000 -0.00059
-0.00092 0.00000 -0.00092
-0.00614 0.00000 -0.00614
0.00355 0.00000 0.00355
-0.00087 0.00000 -0.00087
0.00199 0.00000 0.00199
-0.00115 0.00000 -0.00115
-0.00427 0.00000 -0.00427
-0.00121 0.00000 -0.00121
0.00070 0.00000 0.00070
0.00060 0.00000 0.00060
0.00407 0.00000 0.00407
0.00054 0.00000 0.00054
0.00146 0.00000 0.00146
0.00388 0.00000 0.00388
-0.00224 0.00000 -0.00224
-0.00165 0.00000 -0.00165
0.00157 0.00000 0.00157
-0.00380 0.00000 -0.00380
0.00146 0.00000 0.00146
-0.00385 -201280074562905041753163694080.00000 201280074562905041753163694080.00000
-0.00149 116366622696975303616092962816.00000 -116366622696975303616092962816.00000
-0.00050 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00064 -201280053556394491711515000832.00000 201280053556394491711515000832.00000
0.00408 116366659130833796035436871680.00000 -116366659130833796035436871680.00000
-0.00050 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00281 0.00000 -0.00281
0.00162 0.00000 0.00162
-0.00293 0.00000 -0.00293
-0.00105 0.00000 -0.00105
-0.00091 0.00000 -0.00091
-0.00183 0.00000 -0.00183
-0.00396 -199770950755929463129007718400.00000 199770950755929463129007718400.00000
-0.01514 115494577337085362358921986048.00000 -115494577337085362358921986048.00000
0.00562 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00381 0.00000 0.00381
0.00086 0.00000 0.00086
0.00115 0.00000 0.00115
0.00017 -202215596768645642841049006080.00000 202215596768645642841049006080.00000
0.00187 116907873278043936078751072256.00000 -116907873278043936078751072256.00000
-0.00110 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00048 -202215549192171563717415141376.00000 202215549192171563717415141376.00000
-0.00821 116907816716499672301907738624.00000 -116907816716499672301907738624.00000
0.00063 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00518 -201039670838786260798189600768.00000 201039670838786260798189600768.00000
-0.00711 115950807487916254152578039808.00000 -115950807487916254152578039808.00000
0.00485 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00413 0.00000 -0.00413
0.00609 0.00000 0.00609
-0.00167 0.00000 -0.00167
-0.00180 -201039628782062722512098164736.00000 201039628782062722512098164736.00000
0.00073 115950807512194491240662695936.00000 -115950807512194491240662695936.00000
-0.00311 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00026 0.00000 0.00026
0.00137 0.00000 0.00137
-0.00183 0.00000 -0.00183
0.01113 -199770977071011173165634158592.00000 199770977071011173165634158592.00000
0.01100 115494531695998619267809411072.00000 -115494531695998619267809411072.00000
0.00562 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00735 -202215516574222764047975055360.00000 202215516574222764047975055360.00000
0.00369 116907873324340342113794260992.00000 -116907873324340342113794260992.00000
0.00063 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00153 -202215589331047298602570350592.00000 202215589331047298602570350592.00000
-0.00109 116907886142862320607655100416.00000 -116907886142862320607655100416.00000
-0.00110 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00117 0.00000 0.00117
-0.00373 0.00000 -0.00373
0.00115 0.00000 0.00115
-0.00734 0.00000 -0.00734
0.00053 0.00000 0.00053
-0.00167 0.00000 -0.00167
0.00875 -200799745212095548822143369216.00000 200799745212095548822143369216.00000
-0.00093 116366936399100991460830347264.00000 -116366936399100991460830347264.00000
0.00485 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00154 -200799724161882525393328537600.00000 200799724161882525393328537600.00000
0.00120 116366899989520630576454828032.00000 -116366899989520630576454828032.00000
-0.00311 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00070 -202550130969917956872143372288.00000 202550130969917956872143372288.00000
-0.00040 117101287800680052519226834944.00000 -117101287800680052519226834944.00000
0.01650 116659191017649030249967979069440.00000 -116659191017649030249967979069440.00000
-0.00131 -199771003440839519881878568960.00000 199771003440839519881878568960.00000
0.00076 115494577306671920756591427584.00000 -115494577306671920756591427584.00000
-0.01054 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00387 -202215509136625897553124130816.00000 202215509136625897553124130816.00000
-0.00062 116907886189157794256837935104.00000 -116907886189157794256837935104.00000
-0.00058 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00409 0.00000 0.00409
-0.00236 0.00000 -0.00236
-0.00108 0.00000 -0.00108
0.00247 -202215556629769978324637974528.00000 202215556629769978324637974528.00000
-0.00304 116907803851683082175980240896.00000 -116907803851683082175980240896.00000
-0.00058 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00641 -199801089489716483754651811840.00000 199801089489716483754651811840.00000
0.03259 115268787273910447297672511488.00000 -115268787273910447297672511488.00000
0.02919 116659191017649048264366488551424.00000 -116659191017649048264366488551424.00000
-0.03143 -199590914995968375376291299328.00000 199590914995968375376291299328.00000
-0.01074 115633315583989498297685377024.00000 -115633315583989498297685377024.00000
0.02919 116659191017649048264366488551424.00000 -116659191017649048264366488551424.00000
0.07089 -199380303249623183383783800832.00000 199380303249623183383783800832.00000
-0.04093 115269030181768168009843605504.00000 -115269030181768168009843605504.00000
0.09602 116659191017649048264366488551424.00000 -116659191017649048264366488551424.00000
0.00353 0.00000 0.00353
-0.00204 0.00000 -0.00204
-0.00402 -1983206247300042197189537214496768.00000 1983206247300042197189537214496768.00000
-0.00118 0.00000 -0.00118
0.00068 0.00000 0.00068
0.00171 0.00000 0.00171
0.00113 -200107622953258340751312420864.00000 200107622953258340751312420864.00000
-0.00602 115689145369366993952126795776.00000 -115689145369366993952126795776.00000
-0.00121 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.01092 -200107547775979534491001552896.00000 200107547775979534491001552896.00000
-0.00630 115689145412764647531701338112.00000 -115689145412764647531701338112.00000
-0.00136 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00578 -200107585403678551636225032192.00000 200107585403678551636225032192.00000
0.00203 115689210495656231850668457984.00000 -115689210495656231850668457984.00000
-0.00121 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00209 -201280074562905393596884582400.00000 201280074562905393596884582400.00000
0.00559 116366622696975514722325495808.00000 -116366622696975514722325495808.00000
0.00405 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00380 -201280053556394843555235889152.00000 201280053556394843555235889152.00000
-0.00460 116366659130834007141669404672.00000 -116366659130834007141669404672.00000
0.00405 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00172 0.00000 -0.00172
0.00099 0.00000 0.00099
0.00122 0.00000 0.00122
0.00395 0.00000 0.00395
-0.00289 0.00000 -0.00289
-0.00404 -1983206247300042197189537214496768.00000 1983206247300042197189537214496768.00000
-0.00409 -199770950755929463129007718400.00000 199770950755929463129007718400.00000
0.00542 115494577337085362358921986048.00000 -115494577337085362358921986048.00000
-0.00437 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.00080 -200107622953258340751312420864.00000 200107622953258340751312420864.00000
-0.00608 115689145369367064320870973440.00000 -115689145369367064320870973440.00000
-0.00133 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
-0.00883 -202085439817962278697450864640.00000 202085439817962278697450864640.00000
-0.01007 116832633578790593082270154752.00000 -116832633578790593082270154752.00000
0.00094 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.03203 -202085390994244043243136221184.00000 202085390994244043243136221184.00000
-0.03951 116832549130661782348653133824.00000 -116832549130661782348653133824.00000
0.00064 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
-0.00096 -201039670838785908954468712448.00000 201039670838785908954468712448.00000
-0.00024 115950807487916465258810572800.00000 -115950807487916465258810572800.00000
-0.00132 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
-0.00550 0.00000 -0.00550
0.00548 0.00000 0.00548
-0.00005 0.00000 -0.00005
0.00117 -201039628782062370668377276416.00000 201039628782062370668377276416.00000
-0.00874 115950807512194702346895228928.00000 -115950807512194702346895228928.00000
0.00701 116659191017650183171472585916416.00000 -116659191017650183171472585916416.00000
0.00448 0.00000 0.00448
-0.00198 0.00000 -0.00198
-0.00404 -1983206247300042197189537214496768.00000 1983206247300042197189537214496768.00000
-0.00674 -199770977071011173165634158592.00000 199770977071011173165634158592.00000
0.00084 115494531695998619267809411072.00000 -115494531695998619267809411072.00000
-0.00437 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
0.05023 -202085342271888993105119019008.00000 202085342271888993105119019008.00000
-0.00798 116832633635101227877794840576.00000 -116832633635101227877794840576.00000
0.00064 116659191017648976206772450623488.00000 -116659191017648976206772450623488.00000
